Season,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper,Notes
2017-2018,GR,ptSporting CP,6,2,1,3,8,9,-1,7,"46,515","Bas Dost,Bruno César-2",Rui Patrício
2017-2018,GR,itNapoli,6,2,0,4,11,11,0,6,"25,878",Lorenzo Insigne-3,Pepe Reina
2017-2018,GR,ruSpartak Moscow,6,1,3,2,9,13,-4,6,"43,534","Quincy Promes,Zé Luís-2",Aleksandr Selikhov
2017-2018,GR,nlFeyenoord,6,1,0,5,5,14,-9,3,"41,167",Nicolai Jørgensen-2,Brad Jones
2017-2018,GR,sctCeltic,6,1,0,5,5,18,-13,3,"57,921","Scott Sinclair,Callum McGregor... -1",Craig Gordon
2017-2018,GR,siNK Maribor,6,0,3,3,3,16,-13,3,"12,349","Damjan Bohar,Marcos Tavares... -1",Jasmin Handanović
2017-2018,GR,beAnderlecht,6,1,0,5,2,17,-15,3,"19,586",Sofiane Hanni-1,"Frank Boeckx,Matz Sels"
2017-2018,GR,deDortmund,6,0,2,4,7,13,-6,2,"65,402",Pierre-Emerick Aubameyang-4,Roman Bürki
2017-2018,GR,frMonaco,6,0,2,4,6,16,-10,2,"9,378",Radamel Falcao-3,"Danijel Subašić,Diego Benaglio"
2017-2018,GR,azQarabağ FK,6,0,2,4,2,14,-12,2,"60,741","Míchel,Pedro Henrique-1",Ibrahim Šehić
2017-2018,GR,cyAPOEL FC,6,0,2,4,2,17,-15,2,"17,211",Mickaël Poté-2,Nauzet Pérez
2017-2018,GR,grOlympiacos,6,0,1,5,4,13,-9,1,"30,445",Felipe Pardo-2,Silvio Proto
2017-2018,GR,ptBenfica,6,0,0,6,1,14,-13,0,"39,492",Haris Seferović-1,Mile Svilar
2016-2017,W,esReal Madrid,13,9,3,1,35,18,+17,30,"75,547",Cristiano Ronaldo-12,Keylor Navas,→ Champions League via playoff win
2016-2017,F,itJuventus,13,9,3,1,22,6,+16,30,"33,642",Gonzalo Higuaín-5,Gianluigi Buffon
2016-2017,SF,esAtlético Madrid,12,9,1,2,18,10,+8,28,"46,751",Antoine Griezmann-6,Jan Oblak
2016-2017,SF,frMonaco,12,5,3,4,19,19,0,18,"13,471",Kylian Mbappé-6,Danijel Subašić
2016-2017,QF,esBarcelona,10,6,1,3,26,12,+14,19,"85,863",Lionel Messi-11,Marc-André ter Stegen
2016-2017,QF,deBayern Munich,10,6,0,4,27,14,+13,18,"70,000",Robert Lewandowski-8,Manuel Neuer
2016-2017,QF,deDortmund,10,5,2,3,28,16,+12,17,"63,698",Pierre-Emerick Aubameyang-7,Roman Bürki
2016-2017,QF,engLeicester City,10,5,2,3,11,10,+1,17,"31,471",Riyad Mahrez-4,Kasper Schmeichel
2016-2017,R16,frParis S-G,8,4,3,1,18,13,+5,15,"45,516",Edinson Cavani-8,Alphonse Areola
2016-2017,R16,engArsenal,8,4,2,2,20,16,+4,14,"59,869","Mesut Özil,Theo Walcott-4",David Ospina
2016-2017,R16,esSevilla,8,4,2,2,9,6,+3,14,"37,433",Wissam Ben Yedder-2,Sergio Rico
2016-2017,R16,engManchester City,8,3,4,1,17,13,+4,13,"47,065",Sergio Agüero-5,Willy Caballero
2016-2017,R16,ptPorto,8,3,2,3,9,6,+3,11,"38,794",André Silva-4,Iker Casillas
2016-2017,R16,itNapoli,8,3,2,3,13,14,-1,11,"40,054",Dries Mertens-5,Pepe Reina
2016-2017,R16,ptBenfica,8,3,2,3,11,14,-3,11,"51,131",Eduardo Salvio-3,Ederson
