Season,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
2018-2019,esValencia,22,25.9,50.3,6,66,540,6.0,5,2,7,5,0,1,20,0
2018-2019,czViktoria Plzeň,21,29.6,38.8,6,66,540,6.0,7,6,13,7,0,1,10,0
2018-2019,chYoung Boys,20,26.1,41.3,6,66,540,6.0,4,1,5,2,2,2,15,2
2017-2018,beAnderlecht,20,26.1,42.5,6,66,540,6.0,1,1,2,1,0,0,,
2017-2018,cyAPOEL FC,21,29.7,31.7,6,66,540,6.0,2,1,3,2,0,0,,
2017-2018,esAtlético Madrid,20,27.0,51.8,6,66,540,6.0,5,4,9,4,1,1,,
2017-2018,esBarcelona,22,27.8,64.2,10,110,900,10.0,12,11,23,12,0,0,,
2017-2018,chBasel,21,25.4,35.9,8,88,720,8.0,13,6,19,12,1,1,,
2017-2018,deBayern Munich,22,27.5,58.8,12,132,"1,080",12.0,24,17,41,23,1,1,,
2017-2018,ptBenfica,25,26.8,56.8,6,66,540,6.0,1,1,2,1,0,0,,
2017-2018,trBeşiktaş,23,30.2,47.8,8,88,720,8.0,12,8,20,10,2,2,,
2017-2018,sctCeltic,20,26.1,43.0,6,66,540,6.0,5,4,9,5,0,0,,
2017-2018,engChelsea,19,26.9,45.9,8,88,720,8.0,15,9,24,13,2,2,,
2017-2018,ruCSKA Moscow,20,28.1,43.5,6,66,540,6.0,7,4,11,6,1,1,,
2017-2018,deDortmund,22,26.2,58.3,6,66,540,6.0,7,6,13,7,0,0,,
2017-2018,nlFeyenoord,23,25.1,39.0,6,66,540,6.0,5,4,9,5,0,1,,
2017-2018,itJuventus,23,29.5,49.4,10,110,900,10.0,14,9,23,13,1,2,,
2017-2018,engLiverpool,24,25.6,50.0,13,143,"1,170",13.0,41,35,76,40,1,3,,
2017-2018,engManchester City,25,25.9,65.8,10,110,900,10.0,20,16,36,19,1,2,,
2017-2018,engManchester Utd,25,26.5,56.9,8,88,720,8.0,12,7,19,10,2,3,,
2017-2018,frMonaco,23,26.0,47.2,6,66,540,6.0,6,4,10,5,1,1,,
2017-2018,itNapoli,20,27.9,54.7,6,66,540,6.0,11,6,17,8,3,4,,
2017-2018,siNK Maribor,17,28.5,33.8,6,66,540,6.0,3,3,6,3,0,0,,
2017-2018,grOlympiacos,22,26.9,36.8,6,66,540,6.0,4,3,7,4,0,0,,
2017-2018,frParis S-G,19,26.2,53.3,8,88,720,8.0,26,18,44,25,1,1,,
2017-2018,ptPorto,25,26.6,45.1,8,88,720,8.0,14,13,27,14,0,0,,
2017-2018,azQarabağ FK,20,28.4,44.0,6,66,540,6.0,2,2,4,2,0,0,,
2017-2018,deRB Leipzig,19,23.9,55.8,6,66,540,6.0,9,5,14,8,1,1,,
2017-2018,esReal Madrid,23,27.8,57.4,13,143,"1,170",13.0,33,19,52,29,4,4,,
2017-2018,itRoma,20,28.0,50.9,12,132,"1,080",12.0,20,15,35,17,3,3,,
2017-2018,esSevilla,22,27.2,57.8,10,110,900,10.0,15,11,26,13,2,2,,
